ID,Nome,Idade,Email,Salario,Departamento,Data_Admissao,Ativo,Notas
1,João,25.0,joao@email.com,5000.0,TI,2020-01-15,True,8.5
2,Maria,30.0,maria@email.com,6000.0,RH,2019-03-20,True,9.0
3,Pedro,35.0,,7000.0,Vendas,2021-06-10,False,7.5
4,Ana,28.0,ana@email.com,5500.0,TI,2020-08-05,True,8.8
5,Carlos,42.0,carlos@email.com,8000.0,Financeiro,2018-12-01,True,9.2
6,Lucia,33.0,lucia@email.com,,RH,2022-02-14,True,8.0
7,Roberto,29.0,roberto@email.com,5800.0,Vendas,2021-09-30,False,7.8
8,Fernanda,31.0,fernanda@email.com,6200.0,TI,2020-11-12,True,8.9
9,Miguel,,miguel@email.com,5200.0,Financeiro,2023-01-08,True,8.3
10,Isabela,26.0,isabela@email.com,5900.0,RH,2022-07-22,True,9.1
11,João,25.0,joao@email.com,5000.0,TI,2020-01-15,True,8.5
12,Maria,30.0,maria@email.com,6000.0,RH,2019-03-20,True,9.0
13,Pedro,35.0,email_invalido,7000.0,Vendas,2021-06-10,False,7.5
14,Ana,-5.0,ana@email.com,5500.0,TI,2020-08-05,True,8.8
15,Carlos,42.0,carlos@email.com,50000.0,Financeiro,2018-12-01,True,9.2
